epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
138,15110,0.40551,0.30079,0.9135,0.80559,0.84742,0.85985,0.48279,1.50061,0.71747,1.56435,0.000405566,0.000405566,0.000405566
139,15230.9,0.40542,0.30634,0.92021,0.77901,0.83997,0.8618,0.48859,1.50957,0.73725,1.56762,0.000387897,0.000387897,0.000387897
140,15326.2,0.40928,0.3074,0.92123,0.78122,0.85561,0.86241,0.48559,1.51348,0.73711,1.56216,0.000370568,0.000370568,0.000370568
141,15402.3,0.39732,0.29926,0.91751,0.78005,0.86402,0.86615,0.49085,1.49833,0.72826,1.56491,0.000353582,0.000353582,0.000353582
142,15481.1,0.40784,0.30218,0.91987,0.81591,0.81331,0.86674,0.49037,1.4983,0.72716,1.58228,0.000336947,0.000336947,0.000336947
143,15607.1,0.41006,0.3007,0.91589,0.78822,0.84856,0.86859,0.49758,1.49454,0.71524,1.56753,0.000320666,0.000320666,0.000320666
144,15730.9,0.39572,0.2983,0.91536,0.78691,0.84877,0.86528,0.49153,1.49841,0.72671,1.57443,0.000304745,0.000304745,0.000304745
145,15816.8,0.39731,0.29524,0.91897,0.76162,0.86505,0.86562,0.49152,1.49714,0.73366,1.58201,0.000289188,0.000289188,0.000289188
146,15898.9,0.39969,0.2981,0.91606,0.7735,0.85632,0.86915,0.49182,1.49396,0.71676,1.57276,0.000274001,0.000274001,0.000274001
147,16094.8,0.39796,0.29703,0.91635,0.76519,0.86156,0.86358,0.49683,1.49301,0.71783,1.57795,0.000259187,0.000259187,0.000259187
148,16199.9,0.3881,0.29383,0.91214,0.78285,0.84546,0.86701,0.49728,1.48798,0.72209,1.58539,0.000244752,0.000244752,0.000244752
149,16272.9,0.38893,0.28982,0.91015,0.80245,0.82512,0.86504,0.50004,1.48598,0.7191,1.57269,0.0002307,0.0002307,0.0002307
150,16355.9,0.39473,0.29581,0.91309,0.8092,0.82227,0.86533,0.49465,1.49324,0.71798,1.56956,0.000217035,0.000217035,0.000217035
151,16436.1,0.37878,0.28502,0.90689,0.80729,0.82709,0.86787,0.49708,1.49467,0.71871,1.5804,0.000203761,0.000203761,0.000203761
152,16505.6,0.38838,0.28845,0.91384,0.78466,0.84484,0.86803,0.50067,1.4867,0.71014,1.56605,0.000190882,0.000190882,0.000190882
153,16600.9,0.39497,0.29211,0.91221,0.79265,0.84294,0.86809,0.50376,1.48502,0.71445,1.56649,0.000178403,0.000178403,0.000178403
154,16690.7,0.38438,0.28488,0.9142,0.82082,0.81224,0.86815,0.49559,1.49825,0.71069,1.57958,0.000166327,0.000166327,0.000166327
155,16767.6,0.39154,0.28901,0.91356,0.77745,0.84891,0.87072,0.49901,1.49684,0.70777,1.56969,0.000154657,0.000154657,0.000154657
156,16850.9,0.38282,0.28678,0.91643,0.80142,0.82442,0.86712,0.4974,1.4979,0.71504,1.57348,0.000143398,0.000143398,0.000143398
157,16943,0.37719,0.2841,0.90748,0.79826,0.82858,0.86977,0.49414,1.49954,0.70881,1.57095,0.000132552,0.000132552,0.000132552
158,17036.6,inf,0.28411,0.90326,0.79657,0.83778,0.87017,0.49789,1.49024,0.70509,1.56289,0.000122123,0.000122123,0.000122123
159,17149.2,0.38268,0.28666,0.9143,0.78406,0.84746,0.87025,0.49757,1.48891,0.70654,1.56422,0.000112115,0.000112115,0.000112115
160,17243.4,0.37409,0.28011,0.91045,0.7988,0.82718,0.86839,0.50102,1.48685,0.70798,1.56213,0.00010253,0.00010253,0.00010253
161,17360.9,0.36865,0.27324,0.90583,0.77293,0.85037,0.86957,0.50337,1.4869,0.70233,1.55136,9.33706e-05,9.33706e-05,9.33706e-05
162,17451,0.37808,0.28484,0.91322,0.77158,0.85753,0.87085,0.50146,1.48746,0.70368,1.54734,8.46404e-05,8.46404e-05,8.46404e-05
163,17522.3,0.37868,0.28316,0.91098,0.77197,0.85896,0.87009,0.50061,1.4895,0.70697,1.54944,7.63418e-05,7.63418e-05,7.63418e-05
164,17630.7,0.37901,0.2826,0.9142,0.77117,0.85704,0.86817,0.50442,1.48848,0.70791,1.55197,6.84773e-05,6.84773e-05,6.84773e-05
165,17721.3,0.37515,0.2794,0.91192,0.77433,0.85386,0.87116,0.50366,1.48892,0.70153,1.55615,6.10493e-05,6.10493e-05,6.10493e-05
166,17797.9,0.37528,0.28107,0.90459,0.76925,0.86107,0.86899,0.50447,1.48713,0.69947,1.556,5.40601e-05,5.40601e-05,5.40601e-05
167,17862.9,0.38048,0.28609,0.91472,0.78387,0.85081,0.86864,0.50056,1.4868,0.70417,1.5581,4.75119e-05,4.75119e-05,4.75119e-05
168,17940.7,0.37673,0.27901,0.91175,0.77873,0.85499,0.86794,0.50179,1.48918,0.70433,1.55952,4.14065e-05,4.14065e-05,4.14065e-05
169,18016.7,0.37605,0.28219,0.91036,0.79258,0.85062,0.87114,0.50139,1.49213,0.70373,1.56123,3.57458e-05,3.57458e-05,3.57458e-05
170,18144.1,0.3744,0.27778,0.90397,0.79798,0.84502,0.87267,0.5021,1.49207,0.70044,1.56035,3.05317e-05,3.05317e-05,3.05317e-05
171,18222.4,1.21258,0.69417,1.39322,0.79562,0.83796,0.85905,0.49119,1.49652,0.71885,1.58087,2.57656e-05,2.57656e-05,2.57656e-05
172,18307.7,1.1947,0.67442,1.36303,0.78608,0.84196,0.85594,0.48872,1.49546,0.72737,1.57422,2.1449e-05,2.1449e-05,2.1449e-05
173,18394,1.19281,0.6715,1.37577,0.77955,0.84496,0.85929,0.49068,1.49208,0.722,1.56788,1.75833e-05,1.75833e-05,1.75833e-05
174,18497.8,1.18146,0.66818,1.35533,0.7786,0.85003,0.86034,0.49362,1.4882,0.71883,1.55875,1.41696e-05,1.41696e-05,1.41696e-05
175,18580.4,1.18742,0.67261,1.36388,0.78374,0.84513,0.86162,0.49416,1.49039,0.7188,1.561,1.12089e-05,1.12089e-05,1.12089e-05
176,18684.6,1.17962,0.67325,1.35761,0.78609,0.84341,0.86178,0.49333,1.49067,0.71512,1.55963,8.70224e-06,8.70224e-06,8.70224e-06
177,18740.5,1.17905,0.66777,1.37459,0.78522,0.85013,0.86233,0.49303,1.49144,0.71183,1.56006,6.65027e-06,6.65027e-06,6.65027e-06
178,18800,1.20021,0.68243,1.38792,0.78806,0.84666,0.86344,0.49411,1.49041,0.71245,1.56,5.05364e-06,5.05364e-06,5.05364e-06
